date,yday,n_deployments,overall_density_km2,adult_density_km2,juvenile_density_km2
2020-05-20,141,21,7.692592915487017,7.692592915487017,0
2020-05-21,142,46,1.9543751445018709,1.9543751445018709,0
2020-05-22,143,49,0.054345439807833684,0.054345439807833684,0
2020-05-23,144,74,7.64688884647851,7.64688884647851,0
2020-05-24,145,79,0.7334127301497734,0.7334127301497734,0
2020-05-25,146,80,2.0179287717641663,1.9304059222083079,0.11167923453460013
2020-05-26,147,80,0.643786684764764,0.475898851771239,0.15540308684488288
2020-05-27,148,80,0.08546013802876858,0.08546013802876858,0
2020-05-28,149,80,24.814877007391175,21.71592859602295,6.4951537852875685
2020-05-29,150,80,0.6045422722157886,0.6045422722157886,0
2020-05-30,151,80,1.4876736285221688,1.4876736285221688,0
2020-05-31,152,80,0.27650669481400775,0.27650669481400775,0
2020-06-01,153,80,0.0965771925564727,0.0965771925564727,0
2020-06-02,154,80,2.5345309185515505,2.5345309185515505,0
2020-06-03,155,80,9.688004799271448,9.688004799271448,0
2020-06-04,156,80,0.3831878512681601,0.3831878512681601,0
2020-06-05,157,80,0.11175543232484977,0.11175543232484977,0
2020-06-06,158,80,9.655097681844632,8.998561275255888,0.54018723985865
2020-06-07,159,80,0.027637000050005665,0.027637000050005665,0
2020-06-08,160,80,0,0,0
2020-06-09,161,80,0.9679217994669682,0.6484301022365675,0.3833900366764812
2020-06-10,162,80,2.6870607610242176,1.1452994686979563,1.0006202624390304
2020-06-11,163,80,0.3363822665785836,0.3363822665785836,0
2020-06-12,164,80,0.3344659088272623,0.3344659088272623,0
2020-06-13,165,80,6.1024158353235185,6.1024158353235185,0
2020-06-14,166,79,4.061000165358335,4.021402619120993,0.024739859471614153
2020-06-15,167,80,0.23781870855384107,0.23781870855384107,0
2020-06-16,168,80,0.27591344153321773,0.27591344153321773,0
2020-06-17,169,61,2.377381956646686,2.377381956646686,0
2020-06-18,170,80,0.4763207081447048,0.4763207081447048,0
2020-06-19,171,48,0.011425777089264032,0.011425777089264032,0
2020-06-20,172,58,0.41693342944971495,0.41693342944971495,0
2020-06-21,173,77,0.740774929690817,0.740774929690817,0
2020-06-22,174,77,0.14425796538096877,0.14425796538096877,0
2020-06-23,175,77,2.917686079527568,2.917686079527568,0
2020-06-24,176,77,0,0,0
2020-06-25,177,77,0,0,0
2020-06-26,178,77,0,0,0
2020-06-27,179,77,0.0630676528215672,0.0630676528215672,0
2020-06-28,180,77,0.016446744088060693,0.016446744088060693,0
2020-06-29,181,77,0,0,0
2020-06-30,182,77,0.032893488176121394,0.032893488176121394,0
2020-07-01,183,77,0,0,0
2020-07-02,184,77,0,0,0
2020-07-03,185,77,0.6832422912490375,0.6832422912490375,0
2020-07-04,186,77,0.1666151281833177,0.1666151281833177,0
2020-07-05,187,77,0,0,0
2020-07-06,188,76,0,0,0
2020-07-07,189,78,0,0,0
2020-07-08,190,78,0,0,0
2020-07-09,191,78,0.17351673900991182,0.17351673900991182,0
2020-07-10,192,78,0,0,0
2020-07-11,193,78,0.02083820887216248,0.02083820887216248,0
2020-07-12,194,78,0,0,0
2020-07-13,195,78,0.03477293702801727,0.03477293702801727,0
2020-07-14,196,78,0.07523763691666711,0.07523763691666711,0
2020-07-15,197,78,0.06225909317000865,0.06225909317000865,0
2020-07-16,198,78,0.0948586366824961,0.0948586366824961,0
2020-07-17,199,78,0.013934728155854793,0.013934728155854793,0
2020-07-18,200,78,0.3753446523658636,0.3753446523658636,0
2020-07-19,201,78,0,0,0
2020-07-20,202,78,0,0,0
2020-07-21,203,78,0.08322506876541053,0.08322506876541053,0
2020-07-22,204,60,0.08459271639225613,0.08459271639225613,0
2020-07-23,205,51,0.06374040360896759,0.01779251563789556,0
2020-07-24,206,30,0.060162359688422463,0.060162359688422463,0
2020-07-25,207,30,0,0,0
2020-07-26,208,9,0,0,0
2020-07-27,209,2,0,0,0
