deployment,species,mean_density_km2,mean_density_image_time_km2
SUN_PRAIRIE_10,American bison,0,0
SUN_PRAIRIE_10,Coyote,0.007056333843456341,0.011196623884124273
SUN_PRAIRIE_10,Mule deer,6.27760247705063,6.576251481076967
SUN_PRAIRIE_10,Pronghorn,0.14255023409842296,0.1808453088367423
SUN_PRAIRIE_10,White-tailed deer,0,0
SUN_PRAIRIE_100,American bison,0,0
SUN_PRAIRIE_100,Coyote,0,0
SUN_PRAIRIE_100,Mule deer,0,0
SUN_PRAIRIE_100,Pronghorn,0,0
SUN_PRAIRIE_100,White-tailed deer,0,0
SUN_PRAIRIE_101,American bison,2.210865856899348,2.0918582925019495
SUN_PRAIRIE_101,Coyote,0,0
SUN_PRAIRIE_101,Mule deer,0,0
SUN_PRAIRIE_101,Pronghorn,0.10253516265121641,0.037385259977978556
SUN_PRAIRIE_101,White-tailed deer,0,0
SUN_PRAIRIE_102,American bison,0.5689169979221543,0.4733119219170218
SUN_PRAIRIE_102,Coyote,0.05089601552033596,0.06697854436066365
SUN_PRAIRIE_102,Mule deer,0,0
SUN_PRAIRIE_102,Pronghorn,0,0
SUN_PRAIRIE_102,White-tailed deer,0,0
SUN_PRAIRIE_103,American bison,0.685391907537163,0.9826977174860224
SUN_PRAIRIE_103,Coyote,0.186353735655758,0.17074372043456978
SUN_PRAIRIE_103,Mule deer,0,0
SUN_PRAIRIE_103,Pronghorn,0,0
SUN_PRAIRIE_103,White-tailed deer,0,0
SUN_PRAIRIE_104,American bison,350.27361006303335,238.0940779534709
SUN_PRAIRIE_104,Coyote,0.0542428562262023,0.08052365279909315
SUN_PRAIRIE_104,Mule deer,0.13709199913557515,0.17892614647456245
SUN_PRAIRIE_104,Pronghorn,0,0
SUN_PRAIRIE_104,White-tailed deer,0,0
SUN_PRAIRIE_105,American bison,0.3540343907908565,0.35768102628963677
SUN_PRAIRIE_105,Coyote,0.0032859092182292706,0.0032519601833481634
SUN_PRAIRIE_105,Mule deer,0,0
SUN_PRAIRIE_105,Pronghorn,0,0
