deployment_id,species,yday,n_images
SUN_PRAIRIE_10_R1,American bison,143,0
SUN_PRAIRIE_10_R1,Coyote,143,0
SUN_PRAIRIE_10_R1,Mule deer,143,0
SUN_PRAIRIE_10_R1,Pronghorn,143,0
SUN_PRAIRIE_10_R1,White-tailed deer,143,0
SUN_PRAIRIE_10_R1,American bison,144,0
SUN_PRAIRIE_10_R1,Coyote,144,0
SUN_PRAIRIE_10_R1,Mule deer,144,0
SUN_PRAIRIE_10_R1,Pronghorn,144,0
SUN_PRAIRIE_10_R1,White-tailed deer,144,0
SUN_PRAIRIE_10_R1,American bison,145,0
SUN_PRAIRIE_10_R1,Coyote,145,0
SUN_PRAIRIE_10_R1,Mule deer,145,0
SUN_PRAIRIE_10_R1,Pronghorn,145,0
SUN_PRAIRIE_10_R1,White-tailed deer,145,0
SUN_PRAIRIE_10_R1,American bison,146,0
SUN_PRAIRIE_10_R1,Coyote,146,0
SUN_PRAIRIE_10_R1,Mule deer,146,174
SUN_PRAIRIE_10_R1,Pronghorn,146,0
SUN_PRAIRIE_10_R1,White-tailed deer,146,0
SUN_PRAIRIE_10_R1,American bison,147,0
SUN_PRAIRIE_10_R1,Coyote,147,0
SUN_PRAIRIE_10_R1,Mule deer,147,0
SUN_PRAIRIE_10_R1,Pronghorn,147,0
SUN_PRAIRIE_10_R1,White-tailed deer,147,0
SUN_PRAIRIE_10_R1,American bison,148,0
SUN_PRAIRIE_10_R1,Coyote,148,0
SUN_PRAIRIE_10_R1,Mule deer,148,0
SUN_PRAIRIE_10_R1,Pronghorn,148,0
SUN_PRAIRIE_10_R1,White-tailed deer,148,0
SUN_PRAIRIE_10_R1,American bison,149,0
SUN_PRAIRIE_10_R1,Coyote,149,0
SUN_PRAIRIE_10_R1,Mule deer,149,0
SUN_PRAIRIE_10_R1,Pronghorn,149,0
SUN_PRAIRIE_10_R1,White-tailed deer,149,0
SUN_PRAIRIE_10_R1,American bison,150,0
SUN_PRAIRIE_10_R1,Coyote,150,0
SUN_PRAIRIE_10_R1,Mule deer,150,214
SUN_PRAIRIE_10_R1,Pronghorn,150,0
SUN_PRAIRIE_10_R1,White-tailed deer,150,0
SUN_PRAIRIE_10_R1,American bison,151,0
SUN_PRAIRIE_10_R1,Coyote,151,0
SUN_PRAIRIE_10_R1,Mule deer,151,38
SUN_PRAIRIE_10_R1,Pronghorn,151,1
SUN_PRAIRIE_10_R1,White-tailed deer,151,0
SUN_PRAIRIE_10_R1,American bison,152,0
SUN_PRAIRIE_10_R1,Coyote,152,0
SUN_PRAIRIE_10_R1,Mule deer,152,0
SUN_PRAIRIE_10_R1,Pronghorn,152,13
SUN_PRAIRIE_10_R1,White-tailed deer,152,0
SUN_PRAIRIE_10_R1,American bison,153,0
SUN_PRAIRIE_10_R1,Coyote,153,0
SUN_PRAIRIE_10_R1,Mule deer,153,0
SUN_PRAIRIE_10_R1,Pronghorn,153,0
SUN_PRAIRIE_10_R1,White-tailed deer,153,0
SUN_PRAIRIE_10_R1,American bison,154,0
SUN_PRAIRIE_10_R1,Coyote,154,0
SUN_PRAIRIE_10_R1,Mule deer,154,0
SUN_PRAIRIE_10_R1,Pronghorn,154,0
SUN_PRAIRIE_10_R1,White-tailed deer,154,0
SUN_PRAIRIE_10_R1,American bison,155,0
SUN_PRAIRIE_10_R1,Coyote,155,0
SUN_PRAIRIE_10_R1,Mule deer,155,0
SUN_PRAIRIE_10_R1,Pronghorn,155,0
SUN_PRAIRIE_10_R1,White-tailed deer,155,0
SUN_PRAIRIE_10_R1,American bison,156,0
SUN_PRAIRIE_10_R1,Coyote,156,0
SUN_PRAIRIE_10_R1,Mule deer,156,0
SUN_PRAIRIE_10_R1,Pronghorn,156,0
SUN_PRAIRIE_10_R1,White-tailed deer,156,0
SUN_PRAIRIE_10_R1,American bison,157,0
SUN_PRAIRIE_10_R1,Coyote,157,0
SUN_PRAIRIE_10_R1,Mule deer,157,0
SUN_PRAIRIE_10_R1,Pronghorn,157,0
SUN_PRAIRIE_10_R1,White-tailed deer,157,0
SUN_PRAIRIE_10_R1,American bison,158,0
SUN_PRAIRIE_10_R1,Coyote,158,0
SUN_PRAIRIE_10_R1,Mule deer,158,0
SUN_PRAIRIE_10_R1,Pronghorn,158,0
SUN_PRAIRIE_10_R1,White-tailed deer,158,0
SUN_PRAIRIE_10_R1,American bison,159,0
SUN_PRAIRIE_10_R1,Coyote,159,0
SUN_PRAIRIE_10_R1,Mule deer,159,0
SUN_PRAIRIE_10_R1,Pronghorn,159,0
SUN_PRAIRIE_10_R1,White-tailed deer,159,0
SUN_PRAIRIE_10_R1,American bison,160,0
SUN_PRAIRIE_10_R1,Coyote,160,0
SUN_PRAIRIE_10_R1,Mule deer,160,0
SUN_PRAIRIE_10_R1,Pronghorn,160,0
SUN_PRAIRIE_10_R1,White-tailed deer,160,0
SUN_PRAIRIE_10_R1,American bison,161,0
SUN_PRAIRIE_10_R1,Coyote,161,0
SUN_PRAIRIE_10_R1,Mule deer,161,0
SUN_PRAIRIE_10_R1,Pronghorn,161,0
SUN_PRAIRIE_10_R1,White-tailed deer,161,0
SUN_PRAIRIE_10_R1,American bison,162,0
SUN_PRAIRIE_10_R1,Coyote,162,0
SUN_PRAIRIE_10_R1,Mule deer,162,0
SUN_PRAIRIE_10_R1,Pronghorn,162,0
SUN_PRAIRIE_10_R1,White-tailed deer,162,0
SUN_PRAIRIE_10_R1,American bison,163,0
SUN_PRAIRIE_10_R1,Coyote,163,0
SUN_PRAIRIE_10_R1,Mule deer,163,0
SUN_PRAIRIE_10_R1,Pronghorn,163,0
SUN_PRAIRIE_10_R1,White-tailed deer,163,0
SUN_PRAIRIE_10_R1,American bison,164,0
SUN_PRAIRIE_10_R1,Coyote,164,0
SUN_PRAIRIE_10_R1,Mule deer,164,0
SUN_PRAIRIE_10_R1,Pronghorn,164,0
SUN_PRAIRIE_10_R1,White-tailed deer,164,0
SUN_PRAIRIE_10_R1,American bison,165,0
SUN_PRAIRIE_10_R1,Coyote,165,0
SUN_PRAIRIE_10_R1,Mule deer,165,0
SUN_PRAIRIE_10_R1,Pronghorn,165,0
SUN_PRAIRIE_10_R1,White-tailed deer,165,0
SUN_PRAIRIE_10_R1,American bison,166,0
SUN_PRAIRIE_10_R1,Coyote,166,0
SUN_PRAIRIE_10_R1,Mule deer,166,0
SUN_PRAIRIE_10_R1,Pronghorn,166,0
SUN_PRAIRIE_10_R1,White-tailed deer,166,0
SUN_PRAIRIE_10_R1,American bison,167,0
SUN_PRAIRIE_10_R1,Coyote,167,0
SUN_PRAIRIE_10_R1,Mule deer,167,40
SUN_PRAIRIE_10_R1,Pronghorn,167,0
SUN_PRAIRIE_10_R1,White-tailed deer,167,0
SUN_PRAIRIE_10_R1,American bison,168,0
SUN_PRAIRIE_10_R1,Coyote,168,0
SUN_PRAIRIE_10_R1,Mule deer,168,0
SUN_PRAIRIE_10_R1,Pronghorn,168,0
SUN_PRAIRIE_10_R1,White-tailed deer,168,0
SUN_PRAIRIE_10_R1,American bison,169,0
SUN_PRAIRIE_10_R1,Coyote,169,0
SUN_PRAIRIE_10_R1,Mule deer,169,0
SUN_PRAIRIE_10_R1,Pronghorn,169,0
SUN_PRAIRIE_10_R1,White-tailed deer,169,0
SUN_PRAIRIE_10_R2,American bison,169,0
SUN_PRAIRIE_10_R2,Coyote,169,0
SUN_PRAIRIE_10_R2,Mule deer,169,0
SUN_PRAIRIE_10_R2,Pronghorn,169,0
SUN_PRAIRIE_10_R2,White-tailed deer,169,0
SUN_PRAIRIE_10_R2,American bison,170,0
SUN_PRAIRIE_10_R2,Coyote,170,0
SUN_PRAIRIE_10_R2,Mule deer,170,0
SUN_PRAIRIE_10_R2,Pronghorn,170,0
SUN_PRAIRIE_10_R2,White-tailed deer,170,0
SUN_PRAIRIE_10_R2,American bison,171,0
SUN_PRAIRIE_10_R2,Coyote,171,0
SUN_PRAIRIE_10_R2,Mule deer,171,55
SUN_PRAIRIE_10_R2,Pronghorn,171,0
SUN_PRAIRIE_10_R2,White-tailed deer,171,0
SUN_PRAIRIE_10_R2,American bison,172,0
SUN_PRAIRIE_10_R2,Coyote,172,0
SUN_PRAIRIE_10_R2,Mule deer,172,0
SUN_PRAIRIE_10_R2,Pronghorn,172,0
SUN_PRAIRIE_10_R2,White-tailed deer,172,0
SUN_PRAIRIE_10_R2,American bison,173,0
SUN_PRAIRIE_10_R2,Coyote,173,0
SUN_PRAIRIE_10_R2,Mule deer,173,0
SUN_PRAIRIE_10_R2,Pronghorn,173,0
SUN_PRAIRIE_10_R2,White-tailed deer,173,0
SUN_PRAIRIE_10_R2,American bison,174,0
SUN_PRAIRIE_10_R2,Coyote,174,0
SUN_PRAIRIE_10_R2,Mule deer,174,0
SUN_PRAIRIE_10_R2,Pronghorn,174,0
SUN_PRAIRIE_10_R2,White-tailed deer,174,0
SUN_PRAIRIE_10_R2,American bison,175,0
SUN_PRAIRIE_10_R2,Coyote,175,0
SUN_PRAIRIE_10_R2,Mule deer,175,0
SUN_PRAIRIE_10_R2,Pronghorn,175,0
SUN_PRAIRIE_10_R2,White-tailed deer,175,0
SUN_PRAIRIE_10_R2,American bison,176,0
SUN_PRAIRIE_10_R2,Coyote,176,0
SUN_PRAIRIE_10_R2,Mule deer,176,7
SUN_PRAIRIE_10_R2,Pronghorn,176,0
SUN_PRAIRIE_10_R2,White-tailed deer,176,0
SUN_PRAIRIE_10_R2,American bison,177,0
SUN_PRAIRIE_10_R2,Coyote,177,0
SUN_PRAIRIE_10_R2,Mule deer,177,0
SUN_PRAIRIE_10_R2,Pronghorn,177,0
SUN_PRAIRIE_10_R2,White-tailed deer,177,0
SUN_PRAIRIE_10_R2,American bison,178,0
SUN_PRAIRIE_10_R2,Coyote,178,0
SUN_PRAIRIE_10_R2,Mule deer,178,0
SUN_PRAIRIE_10_R2,Pronghorn,178,0
SUN_PRAIRIE_10_R2,White-tailed deer,178,0
SUN_PRAIRIE_10_R2,American bison,179,0
SUN_PRAIRIE_10_R2,Coyote,179,0
SUN_PRAIRIE_10_R2,Mule deer,179,0
SUN_PRAIRIE_10_R2,Pronghorn,179,0
SUN_PRAIRIE_10_R2,White-tailed deer,179,0
SUN_PRAIRIE_10_R2,American bison,180,0
SUN_PRAIRIE_10_R2,Coyote,180,0
SUN_PRAIRIE_10_R2,Mule deer,180,0
SUN_PRAIRIE_10_R2,Pronghorn,180,0
SUN_PRAIRIE_10_R2,White-tailed deer,180,0
SUN_PRAIRIE_10_R2,American bison,181,0
SUN_PRAIRIE_10_R2,Coyote,181,0
SUN_PRAIRIE_10_R2,Mule deer,181,0
SUN_PRAIRIE_10_R2,Pronghorn,181,0
SUN_PRAIRIE_10_R2,White-tailed deer,181,0
SUN_PRAIRIE_10_R2,American bison,182,0
SUN_PRAIRIE_10_R2,Coyote,182,0
SUN_PRAIRIE_10_R2,Mule deer,182,0
SUN_PRAIRIE_10_R2,Pronghorn,182,0
SUN_PRAIRIE_10_R2,White-tailed deer,182,0
SUN_PRAIRIE_10_R2,American bison,183,0
SUN_PRAIRIE_10_R2,Coyote,183,0
SUN_PRAIRIE_10_R2,Mule deer,183,0
SUN_PRAIRIE_10_R2,Pronghorn,183,0
SUN_PRAIRIE_10_R2,White-tailed deer,183,0
SUN_PRAIRIE_10_R2,American bison,184,0
SUN_PRAIRIE_10_R2,Coyote,184,0
SUN_PRAIRIE_10_R2,Mule deer,184,0
SUN_PRAIRIE_10_R2,Pronghorn,184,0
SUN_PRAIRIE_10_R2,White-tailed deer,184,0
SUN_PRAIRIE_10_R2,American bison,185,0
SUN_PRAIRIE_10_R2,Coyote,185,0
SUN_PRAIRIE_10_R2,Mule deer,185,0
SUN_PRAIRIE_10_R2,Pronghorn,185,0
SUN_PRAIRIE_10_R2,White-tailed deer,185,0
SUN_PRAIRIE_10_R2,American bison,186,0
SUN_PRAIRIE_10_R2,Coyote,186,0
SUN_PRAIRIE_10_R2,Mule deer,186,0
SUN_PRAIRIE_10_R2,Pronghorn,186,0
SUN_PRAIRIE_10_R2,White-tailed deer,186,0
SUN_PRAIRIE_10_R2,American bison,187,0
SUN_PRAIRIE_10_R2,Coyote,187,0
SUN_PRAIRIE_10_R2,Mule deer,187,0
SUN_PRAIRIE_10_R2,Pronghorn,187,0
SUN_PRAIRIE_10_R2,White-tailed deer,187,0
SUN_PRAIRIE_10_R2,American bison,188,0
SUN_PRAIRIE_10_R2,Coyote,188,0
SUN_PRAIRIE_10_R2,Mule deer,188,0
SUN_PRAIRIE_10_R2,Pronghorn,188,0
SUN_PRAIRIE_10_R2,White-tailed deer,188,0
SUN_PRAIRIE_10_R2,American bison,189,0
SUN_PRAIRIE_10_R2,Coyote,189,0
SUN_PRAIRIE_10_R2,Mule deer,189,0
SUN_PRAIRIE_10_R2,Pronghorn,189,0
SUN_PRAIRIE_10_R2,White-tailed deer,189,0
SUN_PRAIRIE_10_R2,American bison,190,0
SUN_PRAIRIE_10_R2,Coyote,190,0
SUN_PRAIRIE_10_R2,Mule deer,190,0
SUN_PRAIRIE_10_R2,Pronghorn,190,0
SUN_PRAIRIE_10_R2,White-tailed deer,190,0
SUN_PRAIRIE_10_R2,American bison,191,0
SUN_PRAIRIE_10_R2,Coyote,191,0
SUN_PRAIRIE_10_R2,Mule deer,191,0
SUN_PRAIRIE_10_R2,Pronghorn,191,0
SUN_PRAIRIE_10_R2,White-tailed deer,191,0
SUN_PRAIRIE_10_R2,American bison,192,0
SUN_PRAIRIE_10_R2,Coyote,192,0
SUN_PRAIRIE_10_R2,Mule deer,192,0
SUN_PRAIRIE_10_R2,Pronghorn,192,0
SUN_PRAIRIE_10_R2,White-tailed deer,192,0
SUN_PRAIRIE_10_R2,American bison,193,0
SUN_PRAIRIE_10_R2,Coyote,193,0
SUN_PRAIRIE_10_R2,Mule deer,193,0
SUN_PRAIRIE_10_R2,Pronghorn,193,0
SUN_PRAIRIE_10_R2,White-tailed deer,193,0
SUN_PRAIRIE_10_R2,American bison,194,0
SUN_PRAIRIE_10_R2,Coyote,194,0
SUN_PRAIRIE_10_R2,Mule deer,194,0
SUN_PRAIRIE_10_R2,Pronghorn,194,0
SUN_PRAIRIE_10_R2,White-tailed deer,194,0
SUN_PRAIRIE_10_R2,American bison,195,0
SUN_PRAIRIE_10_R2,Coyote,195,0
SUN_PRAIRIE_10_R2,Mule deer,195,0
SUN_PRAIRIE_10_R2,Pronghorn,195,0
SUN_PRAIRIE_10_R2,White-tailed deer,195,0
SUN_PRAIRIE_10_R2,American bison,196,0
SUN_PRAIRIE_10_R2,Coyote,196,0
SUN_PRAIRIE_10_R2,Mule deer,196,0
SUN_PRAIRIE_10_R2,Pronghorn,196,0
SUN_PRAIRIE_10_R2,White-tailed deer,196,0
SUN_PRAIRIE_10_R2,American bison,197,0
SUN_PRAIRIE_10_R2,Coyote,197,0
SUN_PRAIRIE_10_R2,Mule deer,197,0
SUN_PRAIRIE_10_R2,Pronghorn,197,0
SUN_PRAIRIE_10_R2,White-tailed deer,197,0
SUN_PRAIRIE_10_R2,American bison,198,0
SUN_PRAIRIE_10_R2,Coyote,198,0
SUN_PRAIRIE_10_R2,Mule deer,198,0
SUN_PRAIRIE_10_R2,Pronghorn,198,0
SUN_PRAIRIE_10_R2,White-tailed deer,198,0
SUN_PRAIRIE_10_R2,American bison,199,0
SUN_PRAIRIE_10_R2,Coyote,199,0
SUN_PRAIRIE_10_R2,Mule deer,199,0
SUN_PRAIRIE_10_R2,Pronghorn,199,0
SUN_PRAIRIE_10_R2,White-tailed deer,199,0
SUN_PRAIRIE_10_R2,American bison,200,0
SUN_PRAIRIE_10_R2,Coyote,200,0
SUN_PRAIRIE_10_R2,Mule deer,200,0
SUN_PRAIRIE_10_R2,Pronghorn,200,0
SUN_PRAIRIE_10_R2,White-tailed deer,200,0
SUN_PRAIRIE_10_R2,American bison,201,0
SUN_PRAIRIE_10_R2,Coyote,201,0
SUN_PRAIRIE_10_R2,Mule deer,201,0
SUN_PRAIRIE_10_R2,Pronghorn,201,0
SUN_PRAIRIE_10_R2,White-tailed deer,201,0
SUN_PRAIRIE_10_R2,American bison,202,0
SUN_PRAIRIE_10_R2,Coyote,202,0
SUN_PRAIRIE_10_R2,Mule deer,202,0
SUN_PRAIRIE_10_R2,Pronghorn,202,0
SUN_PRAIRIE_10_R2,White-tailed deer,202,0
SUN_PRAIRIE_10_R2,American bison,203,0
SUN_PRAIRIE_10_R2,Coyote,203,0
SUN_PRAIRIE_10_R2,Mule deer,203,10
SUN_PRAIRIE_10_R2,Pronghorn,203,0
SUN_PRAIRIE_10_R2,White-tailed deer,203,0
