deployment_id,species,week,n_images
SUN_PRAIRIE_10_R1,American bison,21,0
SUN_PRAIRIE_10_R1,Coyote,21,0
SUN_PRAIRIE_10_R1,Mule deer,21,174
SUN_PRAIRIE_10_R1,Pronghorn,21,0
SUN_PRAIRIE_10_R1,White-tailed deer,21,0
SUN_PRAIRIE_10_R1,American bison,22,0
SUN_PRAIRIE_10_R1,Coyote,22,0
SUN_PRAIRIE_10_R1,Mule deer,22,252
SUN_PRAIRIE_10_R1,Pronghorn,22,14
SUN_PRAIRIE_10_R1,White-tailed deer,22,0
SUN_PRAIRIE_10_R1,American bison,23,0
SUN_PRAIRIE_10_R1,Coyote,23,0
SUN_PRAIRIE_10_R1,Mule deer,23,0
SUN_PRAIRIE_10_R1,Pronghorn,23,0
SUN_PRAIRIE_10_R1,White-tailed deer,23,0
SUN_PRAIRIE_10_R1,American bison,24,0
SUN_PRAIRIE_10_R1,Coyote,24,0
SUN_PRAIRIE_10_R1,Mule deer,24,40
SUN_PRAIRIE_10_R1,Pronghorn,24,0
SUN_PRAIRIE_10_R1,White-tailed deer,24,0
SUN_PRAIRIE_10_R1,American bison,25,0
SUN_PRAIRIE_10_R1,Coyote,25,0
SUN_PRAIRIE_10_R1,Mule deer,25,0
SUN_PRAIRIE_10_R1,Pronghorn,25,0
SUN_PRAIRIE_10_R1,White-tailed deer,25,0
SUN_PRAIRIE_10_R2,American bison,25,0
SUN_PRAIRIE_10_R2,Coyote,25,0
SUN_PRAIRIE_10_R2,Mule deer,25,55
SUN_PRAIRIE_10_R2,Pronghorn,25,0
SUN_PRAIRIE_10_R2,White-tailed deer,25,0
SUN_PRAIRIE_10_R2,American bison,26,0
SUN_PRAIRIE_10_R2,Coyote,26,0
SUN_PRAIRIE_10_R2,Mule deer,26,7
SUN_PRAIRIE_10_R2,Pronghorn,26,0
SUN_PRAIRIE_10_R2,White-tailed deer,26,0
SUN_PRAIRIE_10_R2,American bison,27,0
SUN_PRAIRIE_10_R2,Coyote,27,0
SUN_PRAIRIE_10_R2,Mule deer,27,0
SUN_PRAIRIE_10_R2,Pronghorn,27,0
