deployment,species,total_time_in_fov_s,total_image_time_s,total_duration_days
SUN_PRAIRIE_10,American bison,0,0,121.80482638999999
SUN_PRAIRIE_10,Coyote,5.041758241758242,8,121.80482638999999
SUN_PRAIRIE_10,Mule deer,970.7715689541989,1058,121.80482638999999
SUN_PRAIRIE_10,Pronghorn,20.494344644045242,26,121.80482638999999
SUN_PRAIRIE_10,White-tailed deer,0,0,121.80482638999999
SUN_PRAIRIE_100,American bison,0,0,95.154097221
SUN_PRAIRIE_100,Coyote,0,0,95.154097221
SUN_PRAIRIE_100,Mule deer,0,0,95.154097221
SUN_PRAIRIE_100,Pronghorn,0,0,95.154097221
SUN_PRAIRIE_100,White-tailed deer,0,0,95.154097221
SUN_PRAIRIE_101,American bison,1073.585585480551,1018,95.53252314
SUN_PRAIRIE_101,Coyote,0,0,95.53252314
SUN_PRAIRIE_101,Mule deer,0,0,95.53252314
SUN_PRAIRIE_101,Pronghorn,49.36793080505655,18,95.53252314
SUN_PRAIRIE_101,White-tailed deer,0,0,95.53252314
SUN_PRAIRIE_102,American bison,309.6259691629956,232,127.35650463
SUN_PRAIRIE_102,Coyote,27.167032967032966,34,127.35650463
SUN_PRAIRIE_102,Mule deer,0,0,127.35650463
SUN_PRAIRIE_102,Pronghorn,0,0,127.35650463
SUN_PRAIRIE_102,White-tailed deer,0,0,127.35650463
SUN_PRAIRIE_103,American bison,112.64217060472566,116,67.34494212
SUN_PRAIRIE_103,Coyote,123.4323076923077,96,67.34494212
SUN_PRAIRIE_103,Mule deer,0,0,67.34494212
SUN_PRAIRIE_103,Pronghorn,0,0,67.34494212
SUN_PRAIRIE_103,White-tailed deer,0,0,67.34494212
SUN_PRAIRIE_104,American bison,610.0278749642429,470,93.085891195
SUN_PRAIRIE_104,Coyote,4.041758241758242,6,93.085891195
SUN_PRAIRIE_104,Mule deer,48.791012056996706,52,93.085891195
SUN_PRAIRIE_104,Pronghorn,0,0,93.085891195
SUN_PRAIRIE_104,White-tailed deer,0,0,93.085891195
SUN_PRAIRIE_105,American bison,208.29426509589285,216,144.15503471
SUN_PRAIRIE_105,Coyote,4.041758241758242,4,144.15503471
SUN_PRAIRIE_105,Mule deer,0,0,144.15503471
SUN_PRAIRIE_105,Pronghorn,0,0,144.15503471
SUN_PRAIRIE_105,White-tailed deer,0,0,144.15503471
SUN_PRAIRIE_106,American bison,1067.6727145554667,1562,89.072893522
SUN_PRAIRIE_106,Coyote,0,0,89.072893522
SUN_PRAIRIE_106,Mule deer,0,0,89.072893522
SUN_PRAIRIE_106,Pronghorn,0,0,89.072893522
SUN_PRAIRIE_106,White-tailed deer,50.39163476372779,52,89.072893522
