deployment_id,species,time_in_fov_s,image_time_s,duration_days
SUN_PRAIRIE_10_R1,American bison,0,0,25.80521991
SUN_PRAIRIE_10_R1,Coyote,0,0,25.80521991
SUN_PRAIRIE_10_R1,Mule deer,887.0850508687038,920,25.80521991
SUN_PRAIRIE_10_R1,Pronghorn,20.494344644045242,26,25.80521991
SUN_PRAIRIE_10_R1,White-tailed deer,0,0,25.80521991
SUN_PRAIRIE_10_R2,American bison,0,0,34.96375
SUN_PRAIRIE_10_R2,Coyote,0,0,34.96375
SUN_PRAIRIE_10_R2,Mule deer,83.68651808549507,138,34.96375
SUN_PRAIRIE_10_R2,Pronghorn,0,0,34.96375
SUN_PRAIRIE_10_R2,White-tailed deer,0,0,34.96375
SUN_PRAIRIE_10_R3,American bison,0,0,28.97431713
SUN_PRAIRIE_10_R3,Coyote,0,0,28.97431713
SUN_PRAIRIE_10_R3,Mule deer,0,0,28.97431713
SUN_PRAIRIE_10_R3,Pronghorn,0,0,28.97431713
SUN_PRAIRIE_10_R3,White-tailed deer,0,0,28.97431713
SUN_PRAIRIE_10_R4,American bison,0,0,32.06153935
SUN_PRAIRIE_10_R4,Coyote,5.041758241758242,8,32.06153935
SUN_PRAIRIE_10_R4,Mule deer,0,0,32.06153935
SUN_PRAIRIE_10_R4,Pronghorn,0,0,32.06153935
SUN_PRAIRIE_10_R4,White-tailed deer,0,0,32.06153935
SUN_PRAIRIE_100_R1,American bison,0,0,0.004803241
SUN_PRAIRIE_100_R1,Coyote,0,0,0.004803241
SUN_PRAIRIE_100_R1,Mule deer,0,0,0.004803241
SUN_PRAIRIE_100_R1,Pronghorn,0,0,0.004803241
SUN_PRAIRIE_100_R1,White-tailed deer,0,0,0.004803241
SUN_PRAIRIE_100_R2,American bison,0,0,35.96418981
SUN_PRAIRIE_100_R2,Coyote,0,0,35.96418981
SUN_PRAIRIE_100_R2,Mule deer,0,0,35.96418981
SUN_PRAIRIE_100_R2,Pronghorn,0,0,35.96418981
SUN_PRAIRIE_100_R2,White-tailed deer,0,0,35.96418981
SUN_PRAIRIE_100_R3,American bison,0,0,28.04516204
SUN_PRAIRIE_100_R3,Coyote,0,0,28.04516204
